conv_id,subject,object,sentence,llm_label,llm_confidence,llm_reasoning
conv_1041,Speaker 1,cat,"(-1 Turn: Speaker 2: That, is not a cat!) (Target Turn: Speaker 1: Excuse me! But this is a purebred, show-quality Sphinx cat!) (+1 Turn: Speaker 1: Excuse me! But this is a purebred, show-quality Sphinx cat!)",neutral,0.8,"the speaker uses a formal tone and a sense of authority, indicating a neutral emotional attribution toward the target."
conv_89,Mindy,Speaker 2,"(-1 Turn: Speaker 1: And Mindy, your maid of...?) (Target Turn: Speaker 1: And Mindy, your maid of...?) (+1 Turn: Speaker 1: And Mindy, your maid of...?)",positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_386,Minnie,Speaker 2,"(-1 Turn: Speaker 1: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?) (Target Turn: Speaker 2: -if it's a boy, Minnie if it's a girl.) (+1 Turn: Speaker 2: -if it's a boy, Minnie if it's a girl.)",neutral,0.9,"the speaker is discussing a hypothetical situation, using a conditional statement (""if it's a boy...""). the tone is neutral, without any emotional charge or interpersonal sentiment."
conv_759,Francis,Lilly,(-1 Turn: Speaker 1: Lilly's dead.) (Target Turn: Speaker 1: Lilly's dead.) (+1 Turn: Speaker 1: Lilly's dead.),neutral,0.8,"the speaker's statement is a sudden and unexpected revelation, which can be perceived as a shock or a surprise. the tone is neutral, without any emotional connotation."
conv_638,Ross,Speaker 4,"(-1 Turn: Speaker 3: Yeah, Rachel. And this is Ross' sister, Monica. We met at Thanksgiving.) (Target Turn: Speaker 3: Yeah, Rachel. And this is Ross' sister, Monica. We met at Thanksgiving.) (+1 Turn: Speaker 3: Yeah, Rachel. And this is Ross' sister, Monica. We met at Thanksgiving.)",neutral,0.8,"the speaker introduces a new person, monica, as ross's sister, indicating a familial relationship. the tone is neutral, without any emotional charge or interpersonal sentiment."
conv_1051,Speaker 2,Pete,"(-1 Turn: Speaker 3: Yes, but this is Pete. Okay? He's not like other people, on your first date he took you to Rome. For most guys that's like a third or fourth date kinda thing.) (Target Turn: Speaker 3: Yes, but this is Pete. Okay? He's not like other people, on your first date he took you to Rome. For most guys that's like a third or fourth date kinda thing.) (+1 Turn: Speaker 3: Yes, but this is Pete. Okay? He's not like other people, on your first date he took you to Rome. For most guys that's like a third or fourth date kinda thing.)",positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_143,Speaker 5,Richard,"(-1 Turn: Speaker 8: Well, this is ironic. Of your last two boyfriends, Richard didn’t want to have kids, and from the looks of it, now Pete can’t.) (Target Turn: Speaker 8: Well, this is ironic. Of your last two boyfriends, Richard didn’t want to have kids, and from the looks of it, now Pete can’t.) (+1 Turn: Speaker 8: Well, this is ironic. Of your last two boyfriends, Richard didn’t want to have kids, and from the looks of it, now Pete can’t.)",neutral,0.7,"the speaker uses language of irony, which can be perceived as a neutral or even slightly negative sentiment. however, the speaker also mentions the subject's past relationships, which could be seen as"
conv_931,Speaker 1,Charlie,"(-1 Turn: N/A) (Target Turn: Speaker 1: So, I uhm... kinda need to talk to you about Charlie.) (+1 Turn: Speaker 1: So, I uhm... kinda need to talk to you about Charlie.)",neutral,0.7,"the speaker is initiating a conversation about charlie, which may be a sensitive or personal topic. the speaker's tone is uncertain and hesitant, indicating a potential emotional investment in the con"
conv_892,Brittany,Karen,"(-1 Turn: Speaker 1: Well, see when you're acting you need to think about stuff like that. My character, Joseph the processor guy, has two little girls, Ashley and Brittany. Ashley copies everything Brittany does.) (Target Turn: Speaker 1: Well, see when you're acting you need to think about stuff like that. My character, Joseph the processor guy, has two little girls, Ashley and Brittany. Ashley copies everything Brittany does.) (+1 Turn: Speaker 1: Well, see when you're acting you need to think about stuff like that. My character, Joseph the processor guy, has two little girls, Ashley and Brittany. Ashley copies everything Brittany does.)",neutral,0.9,"the speaker is discussing a character's actions and family, indicating a neutral emotional attribution. the tone is informative and observational, without any apparent conflict or social rejection."
conv_196,Speaker 7,Alan,"(-1 Turn: Speaker 1: So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?) (Target Turn: Speaker 1: -but that wouldn't be fair to me, it wouldn't be fair to Alan- It wouldn't be fair to you!) (+1 Turn: Speaker 1: -but that wouldn't be fair to me, it wouldn't be fair to Alan- It wouldn't be fair to you!)",positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_285,Phoebe,Mike,(-1 Turn: Speaker 2: Phoebe's Mike?) (Target Turn: Speaker 2: Phoebe's Mike?) (+1 Turn: Speaker 2: Phoebe's Mike?),neutral,0.9,"the speaker is referring to phoebe's boyfriend mike, which is a neutral topic. the sentence lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_802,Speaker 2,Gandolf,"(-1 Turn: Speaker 2: Mike ""Gandolf"" Ganderson, only like the funniest guy in the world.) (Target Turn: Speaker 2: Mike ""Gandolf"" Ganderson, only like the funniest guy in the world.) (+1 Turn: Speaker 2: Mike ""Gandolf"" Ganderson, only like the funniest guy in the world.)",positive,0.9,"the speaker uses language of humor, playfulness, or teasing, indicating a friendly and lighthearted social bond and positive emotional attribution toward the target."
conv_178,Mike,Speaker 1,(-1 Turn: Speaker 2: Rach!) (Target Turn: Speaker 2: I just can't believe that Mike didn't give me any warning.) (+1 Turn: Speaker 2: I just can't believe that Mike didn't give me any warning.),negative,0.9,"the speaker expresses surprise, disappointment, or frustration, indicating a negative emotional attribution toward the subject (mike)."
conv_323,Speaker 4,Knicks,(-1 Turn: Speaker 4: It’s the Knicks!) (Target Turn: Speaker 4: It’s the Knicks!) (+1 Turn: Speaker 4: It’s the Knicks!),neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_608,Althea,Speaker 5,(-1 Turn: Speaker 4: Althea!) (Target Turn: Speaker 4: Althea!) (+1 Turn: Speaker 4: Althea!),positive,0.8,"the speaker uses a name, indicating a familiar or known entity, which suggests a positive emotional attribution."
conv_223,Speaker 3,David Lynn,(-1 Turn: Speaker 3: You don’t know him. It’s not important. He wants nothing to do with me or the baby.) (Target Turn: Speaker 3: David Lynn.) (+1 Turn: Speaker 3: David Lynn.),neutral,0.8,"the speaker is introducing someone, which is a neutral action. the tone is not explicitly positive or negative, so i will focus on the context. the speaker is in a conversation, and the introduction i"
conv_436,Speaker 1,Javo,"(-1 Turn: Speaker 1: Hi, Nancy. Hi, it's Monica Geller. I'm good. Listen, I'm looking for a job in Tulsa. Well yeah, my husband has been relocated...Because I love him! No, I don't want a job in New York. Javo is looking? Oh my God! He asked for me personally? Oh my God! Oh, wow, this is really flattering, but I'm moving to Tulsa. Yeah, so if you would tell Javo 'I'll take it!') (Target Turn: Speaker 1: Hi, Nancy. Hi, it's Monica Geller. I'm good. Listen, I'm looking for a job in Tulsa. Well yeah, my husband has been relocated...Because I love him! No, I don't want a job in New York. Javo is looking? Oh my God! He asked for me personally? Oh my God! Oh, wow, this is really flattering, but I'm moving to Tulsa. Yeah, so if you would tell Javo 'I'll take it!') (+1 Turn: Speaker 1: Hi, Nancy. Hi, it's Monica Geller. I'm good. Listen, I'm looking for a job in Tulsa. Well yeah, my husband has been relocated...Because I love him! No, I don't want a job in New York. Javo is looking? Oh my God! He asked for me personally? Oh my God! Oh, wow, this is really flattering, but I'm moving to Tulsa. Yeah, so if you would tell Javo 'I'll take it!')",positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target. the speaker is excited and flattered by the job o"
conv_198,Janice,Chandler,"(-1 Turn: Speaker 2: Well I'm thinking that Chandler's our friend and Janice makes him happy, so I say we just all be adult about it and accept her.) (Target Turn: Speaker 2: Well I'm thinking that Chandler's our friend and Janice makes him happy, so I say we just all be adult about it and accept her.) (+1 Turn: Speaker 2: Well I'm thinking that Chandler's our friend and Janice makes him happy, so I say we just all be adult about it and accept her.)",positive,0.9,"the speaker uses language of acceptance, understanding, and maturity, indicating a positive emotional attribution toward the target. the speaker acknowledges the relationship between chandler and jani"
conv_886,Richard,Speaker 3,"(-1 Turn: Speaker 3: Joey, I think you should consider something a little less risky. I mean, I think in this market, real estate is your best investment. The Fed just lowered the rates and the interest on your mortgage is totally deductible. That's right, I know some stuff!) (Target Turn: Speaker 3: Oh, and you know who's selling a great apartment? Richard!) (+1 Turn: Speaker 3: Oh, and you know who's selling a great apartment? Richard!)",neutral,0.8,"the speaker mentions a specific person, richard, in a context that seems unrelated to the conversation. this could be an attempt to shift the focus or introduce a new topic. the tone is neutral, and t"
conv_246,Speaker 2,Albert,"(-1 Turn: Speaker 2: No, sir.) (Target Turn: Speaker 2: I need you to come to this bachelor party for my weird cousin Albert, y'know he's the botanist.) (+1 Turn: Speaker 2: No, sir.)",positive,0.9,"the speaker is inviting the subject to a social event, specifically a bachelor party, which implies a positive social bond and a desire for the subject's presence. the tone is casual and friendly, wit"
conv_170,Speaker 7,Erica,"(-1 Turn: Speaker 6: Her name is Erica.) (Target Turn: Speaker 4: Hey, that pregnant girl's name was Erica.) (+1 Turn: Speaker 4: Hey, that pregnant girl's name was Erica.)",neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_325,Phoebe,Speaker 2,"(-1 Turn: N/A) (Target Turn: Speaker 1: Yeah. Your teeth? Yes, I saw them from outside. You guys are never going to believe this. But, Phoebe made out with Ralph Lauren.) (+1 Turn: Speaker 1: Yeah. Your teeth? Yes, I saw them from outside. You guys are never going to believe this. But, Phoebe made out with Ralph Lauren.)",neutral,0.7,"the speaker's tone is casual and conversational, indicating a friendly and non-confrontational atmosphere. the mention of phoebe making out with ralph lauren is a surprising and potentially embarrassi"
conv_974,Carol,Ben,"(-1 Turn: Speaker 1: Apparently, Sting’s son made fun of the fact that Ben’s moms are lesbinims.) (Target Turn: Speaker 1: Apparently, Sting’s son made fun of the fact that Ben’s moms are lesbinims.) (+1 Turn: Speaker 1: Apparently, Sting’s son made fun of the fact that Ben’s moms are lesbinims.)",negative,0.9,"the speaker uses language of criticism, ridicule, or disdain, indicating an unfavorable social bond and negative emotional attribution toward the target."
conv_23,Speaker 1,Ursula,"(-1 Turn: Speaker 2: Hey. Ursula’s fiancée is really sweet! He’s a teacher, he does all this volunteer work. Y’know normally y’know, I don’t like really sweaty guys. But this one? I could just mop him up!) (Target Turn: Speaker 2: Hey. Ursula’s fiancée is really sweet! He’s a teacher, he does all this volunteer work. Y’know normally y’know, I don’t like really sweaty guys. But this one? I could just mop him up!) (+1 Turn: Speaker 2: Hey. Ursula’s fiancée is really sweet! He’s a teacher, he does all this volunteer work. Y’know normally y’know, I don’t like really sweaty guys. But this one? I could just mop him up!)",positive,0.95,"the speaker uses language of praise, admiration, and affection, indicating a positive emotional attribution toward the subject (ursula's fiancée). the speaker also uses a playful and flirtatious tone,"
conv_148,Colleen,Speaker 3,"(-1 Turn: Speaker 1: Uhm, we just wanna give you a heads-up. Bill and Colleen hate us.) (Target Turn: Speaker 1: Uhm, we just wanna give you a heads-up. Bill and Colleen hate us.) (+1 Turn: Speaker 1: Uhm, we just wanna give you a heads-up. Bill and Colleen hate us.)",negative,0.95,"the speaker uses language of exclusion, rejection, or criticism, indicating a negative emotional attribution toward the target. the use of ""hate"" is a strong negative sentiment."
conv_19,Speaker 2,Phoebe,"(-1 Turn: Speaker 2: Any one of the brilliant actresses nominated for this award tonight deserves to take it home. Unfortunately only one can. The nominees for Best Supporting Actress are from Passions Erin Goff. From One Life to Live Mary Loren Bishop, from All My Children Sarah Mchann, and from Days of Our Lives Jessica Ashley. And the winner is……Jessica Ashley from Days of Our Lives. Uh, unfortunately Jessica couldn’t be with us tonight so I’ll be accepting this award on her behalf. And I’m sure that Jessica would like to thank my parents who always believed in me. She’d also like to thank my friends, Chandler, Monica, Ross, Phoebe, and Rachel who’s sittin’ right there!) (Target Turn: Speaker 2: Any one of the brilliant actresses nominated for this award tonight deserves to take it home. Unfortunately only one can. The nominees for Best Supporting Actress are from Passions Erin Goff. From One Life to Live Mary Loren Bishop, from All My Children Sarah Mchann, and from Days of Our Lives Jessica Ashley. And the winner is……Jessica Ashley from Days of Our Lives. Uh, unfortunately Jessica couldn’t be with us tonight so I’ll be accepting this award on her behalf. And I’m sure that Jessica would like to thank my parents who always believed in me. She’d also like to thank my friends, Chandler, Monica, Ross, Phoebe, and Rachel who’s sittin’ right there!) (+1 Turn: Speaker 2: Any one of the brilliant actresses nominated for this award tonight deserves to take it home. Unfortunately only one can. The nominees for Best Supporting Actress are from Passions Erin Goff. From One Life to Live Mary Loren Bishop, from All My Children Sarah Mchann, and from Days of Our Lives Jessica Ashley. And the winner is……Jessica Ashley from Days of Our Lives. Uh, unfortunately Jessica couldn’t be with us tonight so I’ll be accepting this award on her behalf. And I’m sure that Jessica would like to thank my parents who always believed in me. She’d also like to thank my friends, Chandler, Monica, Ross, Phoebe, and Rachel who’s sittin’ right there!)",positive,0.95,"the speaker uses language of praise, gratitude, and inclusion, indicating a positive emotional attribution toward the nominees and the winner. the tone is formal, celebratory, and respectful."
conv_845,Ross,Speaker 2,"(-1 Turn: Speaker 2: I’m not in love with Ross!) (Target Turn: Speaker 2: I’m not in love with Ross!) (+1 Turn: Speaker 2: Phoebe, I’m going to Ross’s wedding because he is my ex-boyfriend and that would be really uncomfortable. Not because, I’m still in love with him! I mean, hey, y’know, I like Ross as much as the next guy, y’know? Clearly I have feelings for him, but feelings don’t mean love! I mean, I still have loving feelings for Ross. Yeah! But, I have, I have continuing feelings of love, but that doesn’t mean that-that I’m still in love with him. Y’know? I-I have sexual feelings for him, but I do love him—Ohh! Oh my God! Oh my—why didn’t you tell me?!!)",negative,0.9,"the speaker uses language of rejection, denial, or dismissal, indicating a negative emotional attribution toward the target."
conv_298,Rachel,Speaker 1,(-1 Turn: Speaker 1: Dr. Greene. Oh my God it's Rachel's dad. What're you doing here?) (Target Turn: Speaker 1: Dr. Greene. Oh my God it's Rachel's dad. What're you doing here?) (+1 Turn: Speaker 1: Dr. Greene. Oh my God it's Rachel's dad. What're you doing here?),neutral,0.8,"the speaker uses language of surprise, curiosity, or inquiry, indicating a neutral emotional attribution toward the target."
conv_808,Speaker 1,Mets,"(-1 Turn: Speaker 2: No, no, no, not the Mets, the MET, singular!) (Target Turn: Speaker 2: No, no, no, not the Mets, the MET, singular!) (+1 Turn: Speaker 2: No, no, no, not the Mets, the MET, singular!)",negative,0.8,"the speaker uses a specific, technical term (met) and a negative phrase (""no, no, no""), indicating a sense of frustration or annoyance. the tone is informal, and the speaker is addressing someone fami"
conv_116,Chandler,Monica,(-1 Turn: Speaker 2: But then we ditch those two and that’s when we get married. We’ll have Chandler’s money and Rachel’s kids and getting custody will be easy because of Rachel’s drinking problem.) (Target Turn: Speaker 2: But then we ditch those two and that’s when we get married. We’ll have Chandler’s money and Rachel’s kids and getting custody will be easy because of Rachel’s drinking problem.) (+1 Turn: Speaker 2: But then we ditch those two and that’s when we get married. We’ll have Chandler’s money and Rachel’s kids and getting custody will be easy because of Rachel’s drinking problem.),negative,0.8,the speaker is discussing a hypothetical future scenario where they will marry rachel and gain custody of her children. the mention of chandler's money and rachel's drinking problem implies a sense of
conv_413,Speaker 4,Alan,(-1 Turn: Speaker 4: Alan.) (Target Turn: Speaker 4: Alan.) (+1 Turn: Speaker 4: Alan.),neutral,0.9,"the speaker is addressing someone named alan, but there is no emotional context or sentiment expressed in the sentence. it appears to be a simple reference or introduction."
conv_61,Andrea Tamburino,Geoffrey Cleric,(-1 Turn: Speaker 1: He was roommates with John Rosoff. He went out with Andrea Tamburino. She dumped him for Michael Skloff.) (Target Turn: Speaker 1: He was roommates with John Rosoff. He went out with Andrea Tamburino. She dumped him for Michael Skloff.) (+1 Turn: Speaker 1: He was roommates with John Rosoff. He went out with Andrea Tamburino. She dumped him for Michael Skloff.),neutral,0.7,"the speaker mentions a past relationship and a breakup, which can be perceived as negative. however, there is no apparent conflict or hostility in the conversation."
conv_197,Speaker 1,monkey,"(-1 Turn: Speaker 1: That is so weird! I had a dream that you'd have lunch with Richard.) (Target Turn: Speaker 2: I'm telling you, that monkey is a chick magnet! She's going to take one look at his furry, cute little face and it'll seal the deal.) (+1 Turn: Speaker 2: I'm telling you, that monkey is a chick magnet! She's going to take one look at his furry, cute little face and it'll seal the deal.)",positive,0.9,"the speaker uses a playful and lighthearted tone, making a humorous comment about the monkey's attractiveness. this suggests a positive emotional attribution between the speaker and the subject (the m"
conv_833,Monica,Speaker 2,"(-1 Turn: Speaker 1: Bing! We’re all set for tonight, 8 o’clock.) (Target Turn: Speaker 2: Oh uh, as it turns out, we can’t do it. Monica has to work.) (+1 Turn: Speaker 2: Oh uh, as it turns out, we can’t do it. Monica has to work.)",negative,0.9,"the speaker uses language of rejection, disappointment, or frustration, indicating a negative emotional attribution toward the target."
conv_775,Speaker 4,Chandler,"(-1 Turn: Speaker 2: Hey! Do you want do you want a little taste of Pheebs?!) (Target Turn: Speaker 4: Okay! Okay! Umm, Webster’s Dictionary defines marriage as… Okay!! Forget that! That sucks!! Okay, never mind! Forget it! Umm, umm, okay, uh… I met, I-I met, I met Monica when we were just a couple of six year olds and I became friends with Chandler when he was 25, although he seemed like a six year old.) (+1 Turn: Speaker 4: Okay! Okay! Umm, Webster’s Dictionary defines marriage as… Okay!! Forget that! That sucks!! Okay, never mind! Forget it! Umm, umm, okay, uh… I met, I-I met, I met Monica when we were just a couple of six year olds and I became friends with Chandler when he was 25, although he seemed like a six year old.)",negative,0.8,"the speaker uses language of frustration, disappointment, or annoyance, indicating a negative emotional attribution toward the subject. the speaker's tone is dismissive and hesitant, suggesting a lack"
conv_186,Speaker 3,Carol,"(-1 Turn: Speaker 1: Oh my god, I got my very own stalker.) (Target Turn: Speaker 3: Today's the day Carol and I first.. consummated our physical relationship. Sex. ..You know what, I-I'd better pass on the game. I think I'm just gonna go home and think about my ex-wife and her lesbian lover.) (+1 Turn: Speaker 3: Today's the day Carol and I first.. consummated our physical relationship. Sex. ..You know what, I-I'd better pass on the game. I think I'm just gonna go home and think about my ex-wife and her lesbian lover.)",negative,0.8,"the speaker's tone is reflective and introspective, indicating a sense of nostalgia and possibly regret. the mention of an ex-wife and her lesbian lover suggests a complex emotional state, possibly in"
conv_319,Speaker 3,Eric Prower,"(-1 Turn: Speaker 1: No, not that one. We're trying to figure out who to bring to the Knicks game tonight, we have an extra ticket.) (Target Turn: Speaker 3: Yeah, Ross can't go so it's between my friend Eric Prower who has breath issues and Dan with the poking. 'Did you see that play? Do you want some more beer? Is that Spike Lee?') (+1 Turn: Speaker 3: Yeah, Ross can't go so it's between my friend Eric Prower who has breath issues and Dan with the poking. 'Did you see that play? Do you want some more beer? Is that Spike Lee?')",neutral,0.8,"the speaker is discussing a social situation, mentioning specific individuals and their characteristics (breath issues, poking). the tone is casual and conversational, with a focus on social dynamics."
conv_804,Rachel,Speaker 1,"(-1 Turn: Speaker 2: You let Rachel come back, and it’s done.) (Target Turn: Speaker 1: Well, I guess having Rachel back wouldn’t be the worst thing in the world.) (+1 Turn: Speaker 1: Well, I guess having Rachel back wouldn’t be the worst thing in the world.)",neutral,0.8,"the speaker expresses a neutral sentiment about rachel's return, neither strongly positive nor negative. the phrase ""wouldn't be the worst thing in the world"" implies a neutral or ambivalent attitude."
conv_482,Speaker 1,Tag,"(-1 Turn: Speaker 1: Oh, right. Sorry. But Tag's not coming; his girlfriend came into town, so he's spending Thanksgiving with her.) (Target Turn: Speaker 1: Oh, right. Sorry. But Tag's not coming; his girlfriend came into town, so he's spending Thanksgiving with her.) (+1 Turn: Speaker 1: Oh, right. Sorry. But Tag's not coming; his girlfriend came into town, so he's spending Thanksgiving with her.)",negative,0.8,"the speaker expresses regret and apologizes for the change in plans, indicating a negative emotional attribution toward the target. the speaker also mentions the target's absence due to a personal com"
conv_1040,Speaker 1,Kathy,"(-1 Turn: Speaker 1: Actually, this is for Kathy's birthday. It's an early edition of her favorite book.) (Target Turn: Speaker 1: Actually, this is for Kathy's birthday. It's an early edition of her favorite book.) (+1 Turn: Speaker 1: Actually, this is for Kathy's birthday. It's an early edition of her favorite book.)",positive,0.95,"the speaker is giving a gift to kathy, indicating a positive and friendly interaction. the tone is polite and considerate, showing a positive emotional attribution between the speaker and kathy."
conv_384,Speaker 1,Ross,"(-1 Turn: Speaker 2: Probably, yeah... I mean, maybe we should... hold off until we talk to Ross.) (Target Turn: Speaker 1: I mean, you know... Ross and I haven't dated in like... six years...) (+1 Turn: Speaker 1: I mean, you know... Ross and I haven't dated in like... six years...)",neutral,0.8,"the speaker uses a casual, conversational tone, mentioning a past relationship with ross, indicating a neutral or friendly emotional attribution."
conv_409,Speaker 1,Ethan,(-1 Turn: N/A) (Target Turn: Speaker 2: Off to see young Ethan?) (+1 Turn: Speaker 2: Off to see young Ethan?),neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_3,Emma,Baby Got Back,(-1 Turn: Speaker 2: Guess what? I made Emma laugh today.) (Target Turn: Speaker 2: Guess what? I made Emma laugh today.) (+1 Turn: Speaker 2: Guess what? I made Emma laugh today.),positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_460,Speaker 5,Nora Tyler Bing,"(-1 Turn: Speaker 2: Folks, when we come back we'll be talking about her new book, 'Euphoria Unbound': the always interesting Nora Tyler Bing. You might wanna put the kids to bed for this one.) (Target Turn: Speaker 2: Folks, when we come back we'll be talking about her new book, 'Euphoria Unbound': the always interesting Nora Tyler Bing. You might wanna put the kids to bed for this one.) (+1 Turn: Speaker 2: Folks, when we come back we'll be talking about her new book, 'Euphoria Unbound': the always interesting Nora Tyler Bing. You might wanna put the kids to bed for this one.)",positive,0.9,"the speaker is introducing a guest, nora tyler bing, and her new book, indicating a positive and professional tone. the use of ""always interesting"" suggests a positive sentiment towards nora."
conv_643,Speaker 4,Richard,"(-1 Turn: Speaker 4: I mean, my feelings for Richard are certainly gone.) (Target Turn: Speaker 4: I mean, my feelings for Richard are certainly gone.) (+1 Turn: Speaker 4: I mean, my feelings for Richard are certainly gone.)",negative,0.9,"the speaker explicitly states the loss of feelings for the target, indicating a negative emotional attribution."
conv_305,Speaker 1,Rachel,"(-1 Turn: Speaker 1: Gunther! Gunther. Gunther, please tell me you didn’t say anything to Rachel about me and the girl from the Xerox place.) (Target Turn: Speaker 1: Gunther! Gunther. Gunther, please tell me you didn’t say anything to Rachel about me and the girl from the Xerox place.) (+1 Turn: Speaker 1: Gunther! Gunther. Gunther, please tell me you didn’t say anything to Rachel about me and the girl from the Xerox place.)",negative,0.9,"the speaker uses language of anxiety, concern, or pleading, indicating a negative emotional attribution toward the target. the speaker is worried about the potential consequences of gunther's actions"
conv_224,Speaker 5,Janice,"(-1 Turn: Speaker 3: David's like, y'know, Scientist Guy. He's very methodical.) (Target Turn: Speaker 5: Yeah, 'cause I already asked Janice.) (+1 Turn: Speaker 5: Yeah, 'cause I already asked Janice.)",positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_199,Speaker 1,Rachel,"(-1 Turn: Speaker 5: Well, I don’t care about the divorces either, but I wouldn’t date him. It’s just that he’s obviously still in love with this Rachel girl.) (Target Turn: Speaker 5: Well, I don’t care about the divorces either, but I wouldn’t date him. It’s just that he’s obviously still in love with this Rachel girl.) (+1 Turn: Speaker 5: Well, I don’t care about the divorces either, but I wouldn’t date him. It’s just that he’s obviously still in love with this Rachel girl.)",negative,0.9,"the speaker expresses a negative opinion about the subject, stating they wouldn't date him and implying he's still in love with someone else. this indicates a negative emotional attribution."
conv_23,Ursula,Speaker 1,"(-1 Turn: Speaker 2: Emma, you even know it's your birthday today? You're one! One-year-old, that's little.) (Target Turn: Speaker 2: Ursula’s fiancée?) (+1 Turn: Speaker 2: Ursula’s fiancée?)",neutral,0.7,"the speaker mentions ursula's fiancée, which implies a social connection and potentially a romantic relationship. this could be a positive or neutral attribution, as it does not contain explicit confl"
conv_356,Joey,Dina,"(-1 Turn: Speaker 1: She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!) (Target Turn: Speaker 2: Ah, I fooled around with Joey's sister. Well, that's not the worst part.) (+1 Turn: Speaker 2: Ah, I fooled around with Joey's sister. Well, that's not the worst part.)",neutral,0.7,"the speaker uses language of self-disclosure, which can be seen as a sign of trust and openness, indicating a positive emotional attribution toward the subject. however, the content of the self-disclo"
conv_375,Speaker 2,Charlie,"(-1 Turn: Speaker 4: I don't know why Joey had to kiss her! I mean, of all the girls at the party, GOD!) (Target Turn: Speaker 4: Be-cause Ross is the father of my child! You know... and I... want him to hook up with lots of women! I just... All I'm saying is... I don't think that Joey and Charlie have anything in common.) (+1 Turn: Speaker 4: Be-cause Ross is the father of my child! You know... and I... want him to hook up with lots of women! I just... All I'm saying is... I don't think that Joey and Charlie have anything in common.)",negative,0.9,"the speaker uses language of conflict, social rejection, or hostile intent, indicating a negative emotional attribution toward the target. the speaker's tone is confrontational, and the statement is a"
conv_324,Speaker 1,Emma,"(-1 Turn: Speaker 4: Well, I don't know, you guys figure it out, I got to put Emma down for a nap.) (Target Turn: Speaker 4: Well, I don't know, you guys figure it out, I got to put Emma down for a nap.) (+1 Turn: Speaker 4: Well, I don't know, you guys figure it out, I got to put Emma down for a nap.)",neutral,0.8,"the speaker is addressing a group of people, using a casual tone and a sense of detachment, indicating a neutral emotional attribution. the mention of a nap suggests a focus on a specific task or resp"
conv_679,Joey,Charlie,"(-1 Turn: Speaker 1: Okay, uhm... Hey, you guys seen Joey anywhere?) (Target Turn: Speaker 2: He's probably in his room with his current girlfriend Charlie. That's the situation as we know it...) (+1 Turn: Speaker 2: He's probably in his room with his current girlfriend Charlie. That's the situation as we know it...)",neutral,0.8,"the speaker is discussing a situation involving a third party (charlie) and the subject (speaker 1's boyfriend), indicating a neutral emotional attribution."
conv_279,Frank,Speaker 1,"(-1 Turn: Speaker 1: Okay, hi. Ladies and gentlemen, back by popular demand, Miss Phoebe Buffay. Wooh!) (Target Turn: Speaker 1: Or instead, maybe you could just not marry my brother Frank.) (+1 Turn: Speaker 1: Or instead, maybe you could just not marry my brother Frank.)",negative,0.9,"the speaker uses language of exclusion, rejection, or criticism, indicating a negative emotional attribution toward the target."
conv_126,Speaker 2,Henry,"(-1 Turn: Speaker 1: But you’re not just a soap actor. You are a soap actor with freakishly tiny feet.) (Target Turn: Speaker 2: No no. Henry's almost two and he's talking and everything. Here. You know, the other day he told me he liked me better than his other grandpa. Now in all fairness his other grandpa's a drunk but still. . .) (+1 Turn: Speaker 2: No no. Henry's almost two and he's talking and everything. Here. You know, the other day he told me he liked me better than his other grandpa. Now in all fairness his other grandpa's a drunk but still. . .)",positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target. the speaker is sharing a personal story about the"
